,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
109,0,2,0,1,2,1,1,2,2,2,0,ikigai
110,0,3,0,1,3,0,0,4,0,6,6,ikigai
111,1,4,1,2,5,0,4,6,1,8,7,ikigai
112,0,0,0,0,0,0,0,0,1,2,1,ikigai
113,1,2,1,0,2,1,2,2,3,4,1,ikigai
114,1,2,1,0,3,1,2,3,2,12,10,ikigai
115,0,0,0,0,1,0,1,1,0,2,2,ikigai
116,0,0,0,0,1,1,1,2,1,5,4,ikigai
117,0,0,0,0,1,0,1,1,0,2,2,ikigai
118,0,0,0,0,0,0,0,0,1,1,0,ikigai
119,2,2,0,1,0,1,0,0,2,2,0,ikigai
120,0,1,0,0,1,0,1,2,0,2,2,ikigai
121,0,1,0,0,4,0,0,3,0,6,6,ikigai
122,0,3,0,2,1,0,1,4,0,2,2,ikigai
123,0,1,0,1,1,1,1,2,1,1,0,ikigai
124,0,2,0,1,2,2,1,3,2,4,2,ikigai
125,0,2,0,1,2,1,1,3,1,6,5,ikigai
126,0,2,0,0,2,0,1,2,0,8,8,ikigai
127,5,2,4,5,2,3,1,1,10,4,-6,ikigai
128,0,1,0,0,1,0,0,3,0,6,6,ikigai
129,0,0,1,0,2,0,0,2,2,2,0,ikigai
130,0,1,0,0,1,1,1,1,0,2,2,ikigai
131,1,0,0,0,0,1,0,1,1,4,3,ikigai
132,0,0,0,0,1,0,0,1,0,5,5,ikigai
133,0,1,0,0,2,0,1,3,0,3,3,ikigai
134,1,5,1,1,6,0,2,4,0,8,8,ikigai
135,1,1,1,0,0,1,0,1,2,3,1,ikigai
136,1,1,1,1,1,1,0,1,1,2,1,ikigai
137,0,4,0,0,2,0,1,3,0,5,5,ikigai
138,0,1,0,0,1,0,0,2,0,2,2,ikigai
139,0,2,0,1,1,0,1,1,0,5,5,ikigai
140,1,4,1,1,2,1,1,2,1,6,5,ikigai
141,0,0,0,0,2,0,0,2,0,2,2,ikigai
142,0,4,0,0,1,0,0,3,0,4,4,ikigai
143,0,1,1,0,1,0,1,2,2,1,-1,ikigai
144,0,4,0,0,4,0,1,6,0,8,8,ikigai
145,0,2,0,0,2,0,1,4,0,9,9,ikigai
146,1,2,1,1,1,2,0,2,3,3,0,ikigai
147,0,2,0,0,3,1,0,3,0,7,7,ikigai
148,0,2,0,0,2,0,0,3,0,4,4,ikigai
149,0,3,0,1,2,1,1,1,3,3,0,ikigai
150,0,0,0,0,1,0,0,1,1,4,3,ikigai
151,0,2,1,1,2,1,1,2,1,3,2,ikigai
152,0,0,0,0,2,1,1,1,1,3,2,ikigai
153,0,2,0,0,2,0,1,3,1,4,3,ikigai
154,0,0,0,0,0,0,0,0,1,2,1,ikigai
155,0,3,0,0,2,0,1,1,0,3,3,ikigai
156,0,4,0,0,2,0,2,4,0,4,4,ikigai
157,0,0,0,0,0,0,0,2,0,0,0,ikigai
158,0,1,0,0,1,0,1,1,0,1,1,ikigai
159,0,0,0,0,0,0,0,1,0,2,2,ikigai
160,0,0,0,2,5,1,1,3,1,8,7,ikigai
161,1,2,1,0,4,0,1,5,1,8,7,ikigai
162,0,2,0,0,1,0,0,1,0,2,2,ikigai
163,0,2,0,0,2,0,1,2,0,3,3,ikigai
164,0,3,0,0,4,0,1,3,0,8,8,ikigai
165,0,1,0,0,0,0,0,0,0,1,1,ikigai
166,1,2,0,1,2,2,1,2,3,5,2,ikigai
167,0,0,0,0,0,0,0,1,0,2,2,ikigai
168,0,0,1,0,0,0,0,0,1,0,-1,ikigai
169,0,1,1,0,1,1,0,1,1,2,1,ikigai
170,0,0,0,0,1,0,0,2,0,1,1,ikigai
171,1,3,0,1,2,1,2,3,3,4,1,ikigai
172,0,1,0,0,3,0,1,3,0,7,7,ikigai
173,0,1,0,2,0,1,0,1,1,1,0,ikigai
174,2,1,0,1,0,0,0,0,2,1,-1,ikigai
175,0,4,1,1,1,1,1,2,2,3,1,ikigai
176,0,1,0,1,2,0,1,2,1,2,1,ikigai
177,0,1,0,1,2,0,1,1,0,3,3,ikigai
178,1,3,0,1,5,0,2,5,1,6,5,ikigai
179,0,2,0,0,2,0,0,3,0,2,2,ikigai
180,0,3,0,0,1,0,1,1,1,3,2,ikigai
181,0,4,0,1,4,1,2,5,2,6,4,ikigai
182,0,3,0,0,3,0,1,2,0,5,5,ikigai
183,0,1,0,0,1,0,1,2,0,3,3,ikigai
184,1,4,1,0,3,1,2,4,1,7,6,ikigai
185,0,1,0,1,2,1,1,2,1,4,3,ikigai
186,0,0,0,0,0,0,0,1,1,2,1,ikigai
187,1,2,1,0,1,0,0,1,1,1,0,ikigai
188,0,2,0,0,2,0,1,2,0,2,2,ikigai
189,0,1,0,0,1,0,1,3,0,2,2,ikigai
190,0,2,0,0,3,0,0,3,0,7,7,ikigai
191,0,0,0,0,1,0,0,0,0,2,2,ikigai
192,0,0,0,0,1,0,0,2,0,2,2,ikigai
193,1,1,0,1,1,0,2,1,1,1,0,ikigai
194,0,2,0,0,1,0,0,1,0,3,3,ikigai
195,0,2,0,0,3,0,1,3,0,7,7,ikigai
196,0,0,0,0,0,0,0,1,0,1,1,ikigai
197,0,1,0,0,1,0,2,1,0,6,6,ikigai
198,1,3,1,2,2,0,1,4,0,5,5,ikigai
199,0,2,0,0,3,0,1,4,0,4,4,ikigai
200,0,1,0,0,1,0,0,0,0,2,2,ikigai
201,0,2,0,0,0,0,0,1,0,2,2,ikigai
202,0,5,0,0,2,0,0,4,0,4,4,ikigai
203,0,0,0,0,1,0,0,1,0,4,4,ikigai
204,1,2,1,0,1,2,1,4,1,6,5,ikigai
