"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"100",1,0,1,0,2,1,0,3,1,3,2
"101",0,3,0,0,1,0,0,1,0,3,3
"102",0,0,0,0,0,1,0,0,1,0,-1
"103",0,2,0,0,3,0,1,5,0,8,8
"104",0,1,0,0,2,0,1,2,0,5,5
"105",0,1,0,0,1,0,1,3,0,4,4
"106",1,0,3,0,0,1,0,1,4,0,-4
"107",0,2,2,1,2,1,2,3,2,2,0
"108",0,1,0,1,2,0,1,1,0,3,3
"109",0,2,0,1,2,1,1,2,2,2,0
"110",0,3,0,1,3,0,0,4,0,6,6
"111",1,4,1,2,5,0,4,6,1,8,7
"112",0,0,0,0,0,0,0,0,1,2,1
"113",1,2,1,0,2,1,2,2,3,4,1
"114",1,2,1,0,3,1,2,3,2,12,10
"115",0,0,0,0,1,0,1,1,0,2,2
"116",0,0,0,0,1,1,1,2,1,5,4
"117",0,0,0,0,1,0,1,1,0,2,2
"118",0,0,0,0,0,0,0,0,1,1,0
"119",2,2,0,1,0,1,0,0,2,2,0
"120",0,1,0,0,1,0,1,2,0,2,2
"121",0,1,0,0,4,0,0,3,0,6,6
"122",0,3,0,2,1,0,1,4,0,2,2
"123",0,1,0,1,1,1,1,2,1,1,0
"124",0,2,0,1,2,2,1,3,2,4,2
"125",0,2,0,1,2,1,1,3,1,6,5
"126",0,2,0,0,2,0,1,2,0,8,8
"127",5,2,4,5,2,3,1,1,10,4,-6
"128",0,1,0,0,1,0,0,3,0,6,6
"129",0,0,1,0,2,0,0,2,2,2,0
"130",0,1,0,0,1,1,1,1,0,2,2
"131",1,0,0,0,0,1,0,1,1,4,3
"132",0,0,0,0,1,0,0,1,0,5,5
"133",0,1,0,0,2,0,1,3,0,3,3
"134",1,5,1,1,6,0,2,4,0,8,8
"135",1,1,1,0,0,1,0,1,2,3,1
"136",1,1,1,1,1,1,0,1,1,2,1
"137",0,4,0,0,2,0,1,3,0,5,5
"138",0,1,0,0,1,0,0,2,0,2,2
"139",0,2,0,1,1,0,1,1,0,5,5
"140",1,4,1,1,2,1,1,2,1,6,5
"141",0,0,0,0,2,0,0,2,0,2,2
"142",0,4,0,0,1,0,0,3,0,4,4
"143",0,1,1,0,1,0,1,2,2,1,-1
"144",0,4,0,0,4,0,1,6,0,8,8
"145",0,2,0,0,2,0,1,4,0,9,9
"146",1,2,1,1,1,2,0,2,3,3,0
"147",0,2,0,0,3,1,0,3,0,7,7
"148",0,2,0,0,2,0,0,3,0,4,4
"149",0,3,0,1,2,1,1,1,3,3,0
"150",0,0,0,0,1,0,0,1,1,4,3
"151",0,2,1,1,2,1,1,2,1,3,2
"152",0,0,0,0,2,1,1,1,1,3,2
"153",0,2,0,0,2,0,1,3,1,4,3
"154",0,0,0,0,0,0,0,0,1,2,1
"155",0,3,0,0,2,0,1,1,0,3,3
"156",0,4,0,0,2,0,2,4,0,4,4
"157",0,0,0,0,0,0,0,2,0,0,0
"158",0,1,0,0,1,0,1,1,0,1,1
"159",0,0,0,0,0,0,0,1,0,2,2
"160",0,0,0,2,5,1,1,3,1,8,7
"161",1,2,1,0,4,0,1,5,1,8,7
"162",0,2,0,0,1,0,0,1,0,2,2
"163",0,2,0,0,2,0,1,2,0,3,3
"164",0,3,0,0,4,0,1,3,0,8,8
"165",0,1,0,0,0,0,0,0,0,1,1
"166",1,2,0,1,2,2,1,2,3,5,2
"167",0,0,0,0,0,0,0,1,0,2,2
"168",0,0,1,0,0,0,0,0,1,0,-1
"169",0,1,1,0,1,1,0,1,1,2,1
"170",0,0,0,0,1,0,0,2,0,1,1
"171",1,3,0,1,2,1,2,3,3,4,1
"172",0,1,0,0,3,0,1,3,0,7,7
"173",0,1,0,2,0,1,0,1,1,1,0
"174",2,1,0,1,0,0,0,0,2,1,-1
"175",0,4,1,1,1,1,1,2,2,3,1
"176",0,1,0,1,2,0,1,2,1,2,1
"177",0,1,0,1,2,0,1,1,0,3,3
"178",1,3,0,1,5,0,2,5,1,6,5
"179",0,2,0,0,2,0,0,3,0,2,2
"180",0,3,0,0,1,0,1,1,1,3,2
"181",0,4,0,1,4,1,2,5,2,6,4
"182",0,3,0,0,3,0,1,2,0,5,5
"183",0,1,0,0,1,0,1,2,0,3,3
"184",1,4,1,0,3,1,2,4,1,7,6
"185",0,1,0,1,2,1,1,2,1,4,3
"186",0,0,0,0,0,0,0,1,1,2,1
"187",1,2,1,0,1,0,0,1,1,1,0
"188",0,2,0,0,2,0,1,2,0,2,2
"189",0,1,0,0,1,0,1,3,0,2,2
"190",0,2,0,0,3,0,0,3,0,7,7
"191",0,0,0,0,1,0,0,0,0,2,2
"192",0,0,0,0,1,0,0,2,0,2,2
"193",1,1,0,1,1,0,2,1,1,1,0
"194",0,2,0,0,1,0,0,1,0,3,3
"195",0,2,0,0,3,0,1,3,0,7,7
"196",0,0,0,0,0,0,0,1,0,1,1
"197",0,1,0,0,1,0,2,1,0,6,6
"198",1,3,1,2,2,0,1,4,0,5,5
"199",0,2,0,0,3,0,1,4,0,4,4
"200",0,1,0,0,1,0,0,0,0,2,2
"201",0,2,0,0,0,0,0,1,0,2,2
"202",0,5,0,0,2,0,0,4,0,4,4
"203",0,0,0,0,1,0,0,1,0,4,4
"204",1,2,1,0,1,2,1,4,1,6,5
"205",0,2,0,0,1,0,0,3,0,4,4
"206",0,1,0,0,1,0,0,2,0,1,1
"207",0,0,0,0,0,0,0,0,0,1,1
"208",0,0,0,0,1,1,1,2,1,2,1
"209",1,1,1,0,1,0,1,2,1,4,3
"210",0,3,0,0,1,0,1,1,0,2,2
"211",0,1,0,1,1,0,1,2,0,1,1
"212",0,1,0,1,3,1,0,3,1,3,2
"213",0,2,0,0,1,0,0,1,0,3,3
"214",0,1,0,0,1,0,1,1,0,1,1
"215",0,3,0,0,1,0,1,5,0,4,4
"216",0,2,0,0,1,0,0,1,0,3,3
"217",0,0,0,0,1,0,0,6,0,6,6
"218",0,0,0,0,2,0,1,1,0,2,2
"219",0,0,0,0,0,0,0,0,0,0,0
"220",0,3,0,0,3,0,1,2,0,5,5
"221",0,1,0,1,1,0,1,2,1,3,2
"222",0,2,0,0,2,1,0,4,1,4,3
"223",0,0,0,0,0,0,0,1,0,1,1
"224",0,2,0,0,1,0,1,0,0,2,2
"225",1,1,1,1,1,1,1,1,1,2,1
"226",0,1,0,0,3,1,0,4,1,5,4
"227",0,0,0,0,0,0,0,0,0,0,0
"228",2,3,1,1,2,1,1,3,1,5,4
"229",0,0,0,0,0,0,0,2,0,2,2
"230",0,1,0,0,1,0,1,1,0,2,2
"231",0,3,0,0,2,0,1,4,0,5,5
"232",0,0,1,0,0,0,1,2,1,0,-1
"233",0,0,0,0,1,0,0,1,0,2,2
"234",0,4,0,0,1,0,1,0,1,4,3
"235",0,2,0,0,3,0,1,3,0,5,5
"236",0,2,0,0,1,0,0,3,1,3,2
"237",0,1,0,0,1,0,0,1,0,2,2
"238",0,0,0,1,1,1,0,0,1,1,0
"239",0,0,0,0,1,1,1,4,1,4,3
"240",0,1,0,0,1,0,1,2,0,1,1
"241",0,2,0,0,1,0,1,1,0,1,1
"242",0,1,0,0,1,0,1,1,0,1,1
"243",0,0,0,0,0,0,0,0,0,0,0
"244",0,2,0,0,2,0,0,2,0,2,2
"245",0,1,0,0,2,0,1,1,0,3,3
"246",0,1,0,1,2,0,0,0,0,2,2
"247",0,0,0,0,0,0,0,0,1,1,0
"248",0,0,1,0,0,2,0,0,1,3,2
"249",0,1,0,0,1,0,1,1,1,4,3
"250",0,5,0,0,4,0,2,5,0,7,7
"251",0,6,1,0,3,0,2,3,0,4,4
"252",0,0,0,0,3,0,2,3,0,3,3
"253",0,1,0,0,1,0,1,3,0,3,3
"254",0,2,0,0,2,0,1,3,0,2,2
"255",0,2,0,0,1,0,1,1,0,1,1
"256",0,1,0,0,1,0,1,1,0,1,1
"257",0,0,0,0,1,1,0,1,1,3,2
"258",0,2,0,0,3,0,1,2,0,3,3
"259",0,1,0,0,0,0,0,0,0,0,0
"260",0,5,0,0,3,0,1,3,0,6,6
"261",0,0,0,0,1,0,0,2,1,1,0
"262",0,1,0,0,1,0,0,1,0,2,2
"263",0,1,0,0,1,0,1,1,0,2,2
"264",0,1,0,0,1,1,1,1,0,1,1
"265",0,1,0,1,1,0,1,1,0,1,1
"266",0,0,0,0,0,0,0,0,0,1,1
"267",0,0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,1,0,0,1,0,3,3
"269",0,0,0,0,0,0,0,0,0,1,1
"270",0,3,0,0,3,0,2,1,0,4,4
"271",0,1,0,0,1,0,0,1,0,3,3
"272",0,1,0,0,2,0,1,2,1,2,1
"273",0,1,0,0,1,0,1,2,0,5,5
"274",0,0,0,0,0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0,1,0,2,2
"276",0,0,0,0,0,0,0,0,0,0,0
"277",1,3,1,0,3,1,1,3,1,4,3
"278",0,0,0,0,0,0,0,1,0,2,2
"279",0,2,0,0,3,0,1,2,0,6,6
"280",0,2,0,0,3,0,0,3,0,4,4
"281",0,1,0,0,2,0,2,2,1,3,2
"282",0,1,0,0,2,0,2,2,0,4,4
"283",1,1,0,0,1,0,1,1,1,1,0
"284",0,0,0,0,0,0,0,0,1,1,0
"285",0,1,0,0,1,0,0,2,1,1,0
"286",0,6,0,0,5,1,4,2,0,7,7
"287",0,1,0,0,2,0,2,2,1,2,1
"288",0,1,0,0,1,0,0,0,0,2,2
"289",0,0,0,0,0,1,0,1,1,1,0
"290",2,0,1,0,1,1,0,2,2,2,0
"291",0,0,0,0,0,1,0,3,1,2,1
"292",0,1,0,0,1,0,0,2,1,2,1
"293",0,2,0,1,2,1,2,3,1,6,5
"294",0,1,0,0,0,0,0,0,0,1,1
"295",0,1,0,0,2,0,1,2,0,4,4
"296",1,0,2,0,1,1,0,1,2,3,1
"297",0,2,0,0,2,0,0,2,0,4,4
"298",0,0,0,0,0,0,0,2,0,1,1
"299",0,1,0,0,1,0,0,2,0,2,2
"300",0,2,0,0,2,0,0,1,0,3,3
"301",0,1,0,1,0,2,0,0,2,0,-2
"302",0,0,0,0,0,0,0,0,0,1,1
"303",0,1,0,1,1,1,1,2,2,2,0
"304",0,1,0,0,1,0,0,1,0,2,2
"305",0,2,0,0,2,0,1,2,0,3,3
"306",0,2,0,1,1,1,1,2,1,3,2
"307",0,4,0,0,4,0,2,3,0,6,6
"308",0,3,0,0,1,0,1,2,0,2,2
"309",0,3,0,1,2,0,0,2,1,3,2
"310",0,0,0,0,0,0,0,0,0,1,1
"311",0,0,0,0,1,0,0,2,0,5,5
"312",0,0,0,0,1,0,1,1,0,1,1
"313",0,1,0,0,1,0,0,1,0,1,1
"314",0,1,0,1,1,0,0,1,0,4,4
"315",0,2,0,0,2,0,0,1,1,5,4
"316",0,2,0,1,2,0,0,0,0,2,2
"317",0,2,0,0,1,0,1,1,0,2,2
"318",0,1,0,0,1,0,0,1,0,2,2
"319",1,0,0,1,0,1,1,0,1,0,-1
"320",0,0,0,0,0,0,1,0,0,1,1
"321",0,2,0,0,0,1,0,2,2,3,1
"322",0,1,0,0,1,0,0,1,0,3,3
"323",0,3,2,2,4,5,2,5,3,6,3
"324",0,0,0,0,0,0,0,2,0,5,5
"325",0,1,0,0,1,0,1,1,0,5,5
"326",0,0,0,0,0,0,0,1,0,2,2
"327",0,2,0,0,3,0,1,3,0,5,5
"328",0,0,0,0,1,0,0,2,1,2,1
"329",0,3,0,0,2,1,2,2,1,3,2
"330",0,3,0,0,1,0,0,4,0,7,7
"331",0,1,0,0,1,0,0,1,0,2,2
"332",0,1,0,0,1,0,1,1,0,1,1
"333",0,1,0,0,1,0,1,1,0,2,2
"334",0,1,0,0,1,0,1,1,0,1,1
"335",1,2,1,0,1,0,1,1,1,3,2
"336",1,2,1,0,1,1,1,1,1,1,0
"337",0,1,0,1,2,0,0,2,1,4,3
"338",0,0,1,0,0,1,0,0,1,2,1
"339",0,3,0,0,0,0,1,2,0,3,3
"340",0,1,0,0,2,0,1,2,0,2,2
"341",0,1,0,0,1,0,1,1,0,1,1
"342",0,0,0,0,0,0,0,1,0,1,1
"343",0,0,0,0,0,0,0,0,0,0,0
"344",0,1,0,0,2,0,2,3,0,3,3
"345",0,1,0,0,1,0,1,2,0,2,2
"346",0,1,0,0,1,0,1,2,0,2,2
"347",0,2,0,0,1,0,0,1,1,2,1
"348",0,2,0,0,2,1,2,1,0,2,2
"349",0,0,0,0,2,0,0,4,1,4,3
"350",0,2,0,0,1,0,0,1,0,3,3
"351",0,1,0,0,1,0,0,0,1,3,2
"352",0,0,0,0,1,0,0,1,0,1,1
"353",0,1,1,1,2,1,1,1,2,3,1
"354",0,3,0,0,4,0,1,2,0,6,6
"355",0,3,0,0,2,0,1,2,0,3,3
"356",0,2,0,0,2,0,1,3,0,2,2
"357",0,1,1,0,0,0,0,0,1,0,-1
"358",0,0,0,0,0,0,0,1,0,1,1
"359",0,1,0,0,1,0,1,1,0,5,5
"360",0,0,0,0,0,0,0,0,0,1,1
"361",0,3,0,0,2,0,1,3,0,4,4
"362",0,1,0,1,2,1,1,1,1,2,1
"363",0,1,0,0,0,0,0,0,0,0,0
"364",0,1,0,0,1,0,0,1,0,1,1
"365",0,0,0,0,0,0,0,0,0,0,0
"366",1,0,1,0,0,1,0,1,2,0,-2
"367",0,0,0,0,1,0,0,1,0,3,3
"368",0,0,1,0,0,0,0,0,1,0,-1
"369",0,0,0,0,0,0,0,0,0,1,1
"370",0,2,0,0,0,0,0,1,1,2,1
"371",1,2,0,1,1,0,0,0,2,3,1
"372",0,1,0,0,0,0,0,0,0,1,1
"373",0,2,0,0,1,0,1,3,0,4,4
"374",0,1,1,0,1,0,1,1,1,2,1
"375",0,0,0,0,0,0,0,1,0,1,1
"376",0,0,0,0,1,0,0,2,0,1,1
"377",0,1,0,0,0,0,0,0,0,0,0
"378",0,1,0,1,2,0,0,2,0,3,3
"379",0,1,0,2,2,0,0,2,0,4,4
"380",0,0,0,0,0,1,1,2,1,2,1
"381",0,0,0,0,0,0,0,1,0,2,2
"382",0,2,0,0,3,0,1,2,0,3,3
"383",0,2,0,0,1,0,1,1,1,3,2
"384",0,0,0,0,0,0,0,0,0,1,1
"385",0,0,0,0,0,0,0,0,0,1,1
"386",0,0,0,0,3,0,0,2,0,4,4
"387",1,2,1,0,1,0,1,1,1,2,1
"388",0,2,0,0,1,0,1,1,0,2,2
"389",0,0,0,0,0,0,1,1,0,0,0
"390",0,0,0,0,0,0,0,1,0,1,1
"391",1,0,0,0,0,0,0,2,1,4,3
"392",0,1,0,0,1,0,0,1,0,1,1
"393",0,1,0,0,1,0,1,1,0,2,2
"394",0,0,0,0,0,0,0,2,0,2,2
"395",0,2,0,0,0,0,1,0,0,1,1
"396",0,0,0,0,0,0,0,1,0,0,0
"397",0,0,0,0,0,0,0,0,0,3,3
"398",0,0,0,0,0,0,0,0,0,1,1
"399",0,0,0,0,1,0,0,1,0,2,2
"400",0,0,0,0,0,0,0,0,0,0,0
"401",0,1,0,0,1,0,0,1,0,1,1
"402",0,1,0,0,1,0,1,1,0,1,1
"403",0,0,0,1,0,0,0,1,0,3,3
"404",0,1,0,0,1,0,1,1,0,1,1
"405",0,2,0,0,3,0,1,4,0,4,4
"406",0,1,0,2,1,0,0,0,0,1,1
"407",0,1,0,0,1,0,0,1,0,2,2
"408",1,1,1,1,1,1,1,1,1,1,0
"409",0,1,0,0,1,0,1,1,0,1,1
"410",0,1,0,1,0,0,0,1,0,2,2
"411",0,1,0,0,0,0,0,2,0,3,3
"412",0,1,0,0,2,0,1,2,1,3,2
"413",0,1,0,0,1,0,1,1,0,2,2
"414",1,2,1,2,2,1,0,1,1,3,2
"415",0,0,0,0,0,0,1,1,0,2,2
"416",0,0,0,0,0,0,1,0,0,1,1
"417",0,1,0,0,1,0,0,2,0,3,3
"418",0,1,0,0,2,0,1,3,0,3,3
"419",0,1,0,0,1,0,0,1,0,2,2
"420",0,1,0,1,1,1,1,2,1,1,0
"421",0,1,0,1,1,1,0,2,1,3,2
"422",0,0,0,0,0,0,0,1,0,0,0
"423",1,1,0,0,1,0,1,2,1,3,2
"424",0,1,0,0,1,0,1,1,0,3,3
"425",0,1,0,0,0,0,1,2,0,2,2
"426",0,1,0,0,0,0,0,1,0,1,1
"427",1,0,1,0,0,1,0,0,1,1,0
"428",0,1,0,0,1,0,0,1,0,3,3
"429",0,0,0,0,0,0,0,0,0,3,3
"430",1,1,1,1,1,1,1,3,1,3,2
"431",0,2,0,0,1,0,0,1,0,3,3
"432",0,0,0,0,0,0,0,0,0,1,1
"433",0,2,0,0,2,0,0,3,0,4,4
"434",0,2,0,0,3,0,2,3,1,4,3
"435",0,1,0,0,2,0,0,2,0,5,5
"436",0,0,0,0,0,0,0,0,0,0,0
"437",0,0,0,0,0,0,0,0,0,0,0
"438",0,1,0,0,1,0,1,1,1,3,2
"439",0,0,0,0,2,0,0,1,0,2,2
"440",0,1,0,0,0,0,0,0,0,2,2
"441",0,2,0,0,2,0,1,2,0,4,4
"442",0,5,0,0,3,1,2,2,0,3,3
"443",0,2,0,0,1,0,1,2,0,2,2
"444",0,0,0,0,1,0,0,0,0,1,1
"445",1,1,2,0,0,0,0,1,2,1,-1
"446",0,2,0,0,1,0,2,2,0,4,4
"447",0,0,0,0,0,0,0,0,0,0,0
"448",0,3,0,0,3,1,3,1,0,4,4
"449",1,1,1,0,1,0,1,2,1,2,1
"450",0,0,0,0,0,0,0,2,0,2,2
"451",0,1,0,0,1,0,0,0,0,2,2
"452",0,2,0,0,1,0,0,1,0,2,2
"453",0,0,0,0,0,0,0,2,0,2,2
"454",0,0,0,0,0,0,0,0,0,0,0
"455",0,0,0,0,1,0,0,0,0,1,1
"456",0,1,0,0,1,0,1,2,0,2,2
"457",0,1,0,0,1,0,1,1,0,1,1
"458",0,1,0,0,0,0,0,0,0,2,2
"459",0,2,0,0,2,0,0,2,0,3,3
"460",0,0,0,0,0,0,0,1,1,2,1
"461",0,2,0,0,3,0,1,4,0,5,5
"462",0,1,0,0,2,0,0,3,0,4,4
"463",0,1,0,0,1,0,0,1,0,2,2
"464",0,2,0,0,3,0,1,3,0,5,5
"465",0,0,0,0,0,0,0,0,0,0,0
"466",0,0,0,0,1,0,0,2,1,3,2
"467",0,0,0,0,0,0,0,0,0,0,0
"468",0,1,0,0,2,0,1,1,0,5,5
"469",0,0,0,0,1,0,0,1,0,2,2
"470",0,2,0,0,2,0,1,0,0,3,3
"471",1,0,1,0,1,1,0,1,1,1,0
"472",1,2,0,0,3,0,2,3,0,4,4
"473",0,1,0,0,0,0,0,0,0,2,2
"474",0,0,0,0,1,0,0,1,0,4,4
"475",0,2,0,0,1,0,0,2,0,4,4
"476",0,0,0,0,1,0,0,0,0,2,2
"477",0,0,0,0,0,0,0,0,1,0,-1
"478",1,1,1,0,1,0,0,1,1,2,1
"479",0,1,0,0,2,0,1,3,0,4,4
"480",0,0,0,0,0,0,0,0,0,0,0
"481",0,2,0,1,1,0,0,3,1,2,1
"482",1,2,2,2,2,3,2,2,3,2,-1
"483",1,1,1,1,1,0,0,1,0,1,1
"484",0,1,0,0,1,0,1,0,1,4,3
"485",0,1,0,1,1,0,1,1,0,1,1
"486",1,0,0,1,0,0,0,1,1,1,0
"487",0,0,0,1,0,1,0,2,1,1,0
"488",1,1,0,1,1,1,0,1,2,2,0
"489",0,1,0,0,1,0,1,1,0,1,1
"490",0,0,0,1,0,0,0,0,0,2,2
"491",0,1,0,0,2,0,1,3,0,3,3
"492",0,0,0,0,1,0,0,1,1,1,0
"493",0,1,0,0,2,0,0,1,0,2,2
"494",0,0,0,0,2,0,0,3,0,3,3
"495",0,0,0,0,0,0,0,0,0,2,2
"496",0,2,0,0,2,0,1,2,2,4,2
"497",0,0,0,0,1,0,0,1,0,2,2
"498",0,0,0,0,0,0,0,2,0,2,2
"499",0,2,0,0,1,0,1,1,0,2,2
"500",0,1,0,0,1,1,1,1,0,2,2
"501",2,2,0,1,1,1,0,2,1,4,3
"502",0,1,0,0,1,0,1,1,0,2,2
"503",0,0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0,0,0,2,2
"506",0,1,0,0,2,0,0,2,0,3,3
"507",0,0,0,0,1,0,0,1,0,2,2
"508",0,0,0,0,0,0,0,0,0,0,0
"509",0,0,0,0,1,0,0,0,0,4,4
"510",0,1,0,0,1,0,0,1,0,2,2
"511",0,1,0,0,1,0,1,2,1,1,0
"512",0,2,0,0,1,0,0,0,0,3,3
"513",0,1,0,1,0,0,0,0,0,0,0
"514",0,1,0,0,1,0,1,1,0,1,1
"515",0,0,1,0,0,1,0,0,1,1,0
"516",0,1,0,0,2,0,0,1,0,2,2
"517",0,0,0,0,0,0,0,1,0,1,1
"518",0,2,0,0,1,0,1,2,0,3,3
"519",0,0,0,0,1,0,0,1,0,2,2
"520",0,2,0,0,2,0,1,3,0,4,4
"521",0,2,0,0,3,0,0,3,1,4,3
"522",0,1,0,0,1,0,0,1,0,1,1
"523",0,1,0,0,0,0,0,0,0,1,1
"524",0,1,0,0,0,0,0,0,0,2,2
"525",0,3,0,0,3,0,0,3,0,5,5
"526",0,1,0,0,1,0,0,1,0,1,1
"527",0,1,0,0,1,0,1,1,0,3,3
"528",1,0,1,1,0,1,0,0,1,0,-1
"529",0,0,0,0,0,0,0,3,0,3,3
"530",0,1,0,0,1,0,1,1,0,1,1
"531",0,1,0,0,3,0,1,2,0,3,3
"532",0,0,0,0,0,0,0,0,0,0,0
"533",0,1,0,0,1,0,1,2,0,5,5
"534",0,2,0,0,1,0,0,1,0,1,1
"535",0,2,0,0,2,0,1,4,0,4,4
"536",0,3,0,0,2,0,1,2,0,3,3
"537",0,0,0,0,0,0,0,0,0,1,1
"538",0,2,0,0,2,0,2,2,0,4,4
"539",0,0,0,0,0,0,0,0,0,0,0
"540",1,2,0,1,2,1,1,2,1,2,1
"541",0,0,0,0,1,0,0,0,0,3,3
"542",1,1,1,0,1,0,1,1,1,1,0
"543",0,0,0,0,1,0,0,1,0,2,2
"544",0,1,0,0,0,0,0,0,0,3,3
"545",1,1,2,0,0,1,0,0,2,0,-2
"546",0,2,0,0,2,0,2,3,0,5,5
"547",0,1,0,0,2,0,1,2,0,3,3
"548",0,0,0,0,1,0,0,1,0,1,1
"549",0,1,0,0,1,0,1,1,0,1,1
"550",0,1,0,0,0,1,0,1,1,0,-1
"551",0,2,0,1,1,1,0,1,1,2,1
"552",0,1,0,0,2,0,0,2,0,3,3
"553",0,0,0,0,0,0,0,3,0,3,3
"554",1,3,1,0,2,1,1,2,1,2,1
"555",1,1,1,1,1,2,1,1,2,1,-1
"556",0,1,0,0,1,0,1,1,0,1,1
"557",0,0,0,0,1,0,1,1,0,1,1
"558",0,1,0,0,2,0,1,2,0,2,2
"559",0,0,0,0,0,0,0,0,0,1,1
"560",0,1,0,0,2,0,0,2,0,2,2
"561",0,1,0,0,2,0,1,0,0,2,2
"562",0,2,0,0,1,0,2,1,1,1,0
"563",0,0,0,0,0,0,0,0,0,1,1
"564",0,2,0,0,1,0,1,1,0,2,2
"565",0,0,0,0,0,0,0,0,0,0,0
"566",0,0,0,0,0,0,0,0,0,0,0
"567",0,0,0,0,0,0,0,0,0,0,0
"568",0,0,0,0,0,0,0,1,0,1,1
"569",0,2,0,0,3,0,1,3,0,5,5
"570",0,0,0,0,0,0,0,0,0,0,0
"571",0,1,0,0,1,0,1,1,0,1,1
"572",1,0,1,0,0,2,0,0,3,2,-1
"573",0,1,0,0,0,0,0,1,0,1,1
"574",0,1,0,1,1,0,1,1,1,2,1
"575",0,2,0,0,2,0,0,3,0,4,4
"576",0,0,0,0,0,0,0,0,0,0,0
"577",0,0,0,0,0,0,0,0,0,1,1
"578",0,0,0,0,0,0,0,0,0,0,0
"579",0,0,0,0,0,0,0,1,0,1,1
"580",0,0,0,0,1,0,0,1,2,2,0
"581",0,0,0,0,1,0,0,1,0,2,2
"582",0,0,0,0,0,1,0,0,2,0,-2
"583",0,0,0,0,0,0,0,0,0,0,0
"584",1,1,0,0,0,1,0,0,1,2,1
"585",0,0,0,0,0,0,0,0,0,1,1
"586",0,2,0,1,2,0,0,0,0,4,4
"587",1,3,2,0,3,0,2,2,1,3,2
"588",0,0,0,0,0,0,0,0,0,0,0
"589",0,1,0,0,0,0,0,1,0,4,4
"590",0,0,0,0,0,0,0,0,0,0,0
"591",0,1,0,0,1,0,0,1,0,1,1
"592",0,1,0,0,2,0,0,2,0,4,4
"593",0,0,0,0,1,0,1,1,0,2,2
"594",0,0,0,0,1,0,1,3,0,3,3
"595",1,1,1,1,1,0,1,1,0,2,2
"596",0,0,0,0,1,0,1,1,0,2,2
"597",0,0,0,0,0,0,0,0,0,0,0
"598",0,0,0,0,0,0,0,0,0,0,0
"599",0,0,0,0,0,0,0,3,1,3,2
"600",0,1,0,0,1,0,1,2,0,2,2
"601",0,3,0,0,2,0,0,3,0,2,2
"602",0,0,0,0,0,0,0,0,0,0,0
"603",1,2,1,1,1,0,1,2,1,3,2
"604",0,2,0,0,2,0,0,2,0,4,4
"605",0,1,0,0,1,1,1,1,2,1,-1
"606",0,1,0,0,1,0,1,1,0,1,1
"607",0,1,1,0,1,0,1,2,0,2,2
"608",0,0,0,0,1,0,0,1,0,1,1
"609",0,0,0,0,0,0,0,0,0,0,0
"610",0,1,0,0,0,0,0,0,0,0,0
"611",0,0,0,0,0,0,0,0,0,0,0
"612",0,1,0,0,1,0,1,1,0,1,1
"613",1,0,1,0,1,0,0,0,1,1,0
"614",0,1,0,1,0,0,0,0,0,1,1
"615",0,0,0,0,0,0,0,0,0,0,0
"616",0,1,0,0,1,0,0,2,0,2,2
"617",0,1,0,0,1,0,1,1,0,2,2
"618",1,2,0,1,0,0,1,1,2,1,-1
"619",0,1,0,0,1,0,1,1,0,1,1
"620",0,2,0,0,1,0,1,1,0,2,2
"621",0,1,0,0,1,0,1,1,0,1,1
"622",0,0,0,0,0,0,0,0,0,1,1
"623",0,1,0,0,2,0,0,2,0,4,4
"624",0,0,0,0,0,0,0,0,0,1,1
"625",0,2,0,0,1,0,0,1,0,2,2
"626",0,1,0,0,1,0,1,1,0,2,2
"627",0,1,0,1,2,0,0,0,0,4,4
"628",0,0,0,0,0,0,0,0,0,0,0
"629",1,3,1,0,2,1,2,3,2,4,2
"630",0,0,1,0,0,1,0,0,0,2,2
"631",0,2,0,0,2,0,0,4,0,4,4
"632",0,0,0,0,0,0,0,0,0,0,0
"633",0,0,0,0,0,0,0,1,0,1,1
"634",0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,0,0,0,0,0,0
"636",0,0,0,0,1,0,0,0,0,1,1
"637",0,2,0,0,2,0,1,2,0,3,3
"638",0,0,0,0,1,0,1,1,0,1,1
"639",0,2,0,0,1,0,1,2,0,2,2
"640",1,2,0,0,3,0,2,2,1,5,4
"641",0,2,0,0,1,0,2,1,0,3,3
"642",0,0,0,0,0,0,0,0,0,0,0
"643",0,0,0,0,0,0,0,0,0,0,0
"644",0,0,0,0,0,0,0,0,0,0,0
"645",0,1,0,0,1,0,0,0,0,1,1
"646",0,0,0,0,0,0,0,2,0,1,1
"647",0,0,0,0,1,0,0,1,0,1,1
"648",0,0,0,0,0,0,0,1,1,0,-1
"649",0,0,0,0,0,0,0,0,0,1,1
"650",0,2,0,0,3,0,1,2,0,5,5
"651",0,1,0,0,2,0,1,1,0,2,2
"652",0,3,0,0,2,0,1,3,0,3,3
"653",0,1,0,0,0,0,0,0,0,3,3
"654",0,0,0,0,0,0,0,0,0,1,1
"655",0,1,0,0,0,0,0,1,0,1,1
"656",0,1,0,0,1,0,0,1,0,2,2
